league,slug,kickoff,side,horizon_h,pm_price,avg_open,avg_close,b365_close,pin_close,bfe_close,outcome,volume
E0,epl-wes-ast-2025-12-14,2025-12-14T14:00:00+00:00,A,1,0.45,0.4715,0.4355,0.4322,0.4366,0.4399,1,984048
E0,epl-wes-ast-2025-12-14,2025-12-14T14:00:00+00:00,A,6,0.49,0.4715,0.4355,0.4322,0.4366,0.4399,1,984048
E0,epl-wes-ast-2025-12-14,2025-12-14T14:00:00+00:00,A,24,0.48,0.4715,0.4355,0.4322,0.4366,0.4399,1,984048
E0,epl-not-tot-2025-12-14,2025-12-14T14:00:00+00:00,H,1,0.35,0.3702,0.3621,0.3548,0.354,0.3531,1,492523
E0,epl-not-tot-2025-12-14,2025-12-14T14:00:00+00:00,H,6,0.36,0.3702,0.3621,0.3548,0.354,0.3531,1,492523
E0,epl-not-tot-2025-12-14,2025-12-14T14:00:00+00:00,H,24,0.37,0.3702,0.3621,0.3548,0.354,0.3531,1,492523
E0,epl-not-tot-2025-12-14,2025-12-14T14:00:00+00:00,D,1,0.29,0.2878,0.2866,0.2903,0.2906,0.2886,0,52684
E0,epl-not-tot-2025-12-14,2025-12-14T14:00:00+00:00,D,6,0.3,0.2878,0.2866,0.2903,0.2906,0.2886,0,52684
E0,epl-not-tot-2025-12-14,2025-12-14T14:00:00+00:00,D,24,0.29,0.2878,0.2866,0.2903,0.2906,0.2886,0,52684
E0,epl-not-tot-2025-12-14,2025-12-14T14:00:00+00:00,A,1,0.36,0.342,0.3513,0.3548,0.3553,0.3582,0,392696
E0,epl-not-tot-2025-12-14,2025-12-14T14:00:00+00:00,A,6,0.36,0.342,0.3513,0.3548,0.3553,0.3582,0,392696
E0,epl-not-tot-2025-12-14,2025-12-14T14:00:00+00:00,A,24,0.35,0.342,0.3513,0.3548,0.3553,0.3582,0,392696
E0,epl-sun-new-2025-12-14,2025-12-14T14:00:00+00:00,H,1,0.28,0.2901,0.278,0.2821,0.2697,0.2723,1,608550
